"height","weight","age","male"
151.765,47.8256065,63,1
139.7,36.4858065,63,0
136.525,31.864838,65,0
156.845,53.0419145,41,1
145.415,41.276872,51,0
163.83,62.992589,35,1
149.225,38.2434755,32,0
168.91,55.4799715,27,1
147.955,34.869885,19,0
165.1,54.487739,54,1
154.305,49.89512,47,0
151.13,41.220173,66,1
144.78,36.0322145,73,0
149.9,47.7,20,0
150.495,33.849303,65.3,0
163.195,48.5626935,36,1
157.48,42.3258035,44,1
143.9418,38.3568735,31,0
121.92,19.617854,12,1
105.41,13.947954,8,0
86.36,10.489315,6.5,0
161.29,48.987936,39,1
156.21,42.7226965,29,0
129.54,23.586784,13,1
109.22,15.989118,7,0
146.4,35.493574,56,1
148.59,37.9032815,45,0
147.32,35.4652245,19,0
137.16,27.328918,17,1
125.73,22.6796,16,0
114.3,17.860185,11,1
147.955,40.312989,29,1
161.925,55.111428,30,1
146.05,37.5063885,24,0
146.05,38.498621,35,0
152.7048,46.606578,33,0
142.875,38.838815,27,0
142.875,35.5786225,32,0
147.955,47.400364,36,0
160.655,47.8823055,24,1
151.765,49.4131785,30,1
162.8648,49.384829,24,1
171.45,56.5572525,52,1
147.32,39.12231,42,0
147.955,49.89512,19,0
144.78,28.803092,17,0
121.92,20.41164,8,1
128.905,23.359988,12,0
97.79,13.267566,5,0
154.305,41.2485225,55,1
143.51,38.55532,43,0
146.7,42.4,20,1
157.48,44.6504625,18,1
127,22.0105518,13,1
110.49,15.422128,9,0
97.79,12.757275,5,0
165.735,58.5984165,42,1
152.4,46.719976,44,0
141.605,44.22522,60,0
158.8,50.9,20,0
155.575,54.317642,37,0
164.465,45.8978405,50,1
151.765,48.024053,50,0
161.29,52.219779,31,1
154.305,47.62716,25,0
145.415,45.642695,23,0
145.415,42.410852,52,0
152.4,36.4858065,79.3,1
163.83,55.9335635,35,1
144.145,37.194544,27,0
129.54,24.550667,13,1
129.54,25.627948,14,0
153.67,48.307548,38,1
142.875,37.3362915,39,0
146.05,29.596878,12,0
167.005,47.173568,30,1
158.4198,47.286966,24,0
91.44,12.927372,0.599999999999909,1
165.735,57.549485,51,1
149.86,37.931631,46,0
147.955,41.900561,17,0
137.795,27.5840635,12,0
154.94,47.2019175,22,0
160.9598,43.204638,29,1
161.925,50.2636635,38,1
147.955,39.3774555,30,0
113.665,17.463292,6,1
159.385,50.689,45,1
148.59,39.4341545,47,0
136.525,36.28736,79,0
158.115,46.266384,45,1
144.78,42.2691045,54,0
156.845,47.62716,31,1
179.07,55.7067675,23,1
118.745,18.824068,9,0
170.18,48.5626935,41,1
146.05,42.807745,23,0
147.32,35.0683315,36,0
113.03,17.8885345,5,1
162.56,56.755699,30,0